#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,abook,"is an offline addressbook usable by neomutt."
,alacritty,"is a terminal that supports GPU accelleration."
,arc-gtk-theme,"is a dark gtk theme."
,arc-icon-theme,"is a dark icon theme"
,atool,"manages and gives information about archives."
,barrier-headless,"is a virtual KVM switch."
,bc,"is used for a dropdown calculator."
,bspwm,"is the windows manager used by Sife."
,chafa,"render images in the terminal."
,clang,"is a compiler frontend for the C family of languages."
,cmatrix,"is a terminal screen saver inspired by the eponymous film."
,cronie,"is a cron daemon."
,ctags,"generates tag files for source code."
,dhclient,"is a dhcp client."
,dhcpcd,"is a dhcp dlient"
,dialog,"displays dialog boxes from shell scripts."
,discord,"is a soy-based instant messaging protocol."
,dosfstools,"allows your computer to access dos-like filesystems."
,doxygen,"is documentation system for programming languages."
,dunst,"is a suckless notification system."
,efibootmgr,"manipulates the UEFI boot manager."
,element-desktop,"is a chad instant messenger for the Matrix protocol."
,emacs,"is a Lisp interpreter."
,exa,"is a modern alternative to ls."
,exfat-utils,"allows management of FAT drives."
,fcitx,"is an IME for complex scripts."
,fcitx-configtool,"is the config tool for fcitx."
,fcitx-mozc,"is a Japanese input method for fcitx."
,fcitx-skk,"is a Japanese input method for fcitx."
,ffmpeg,"can record and splice video and audio on the command line."
,figlet,"displays large character in ASCII."
,file,"determines file type of files."
,findutils,"is the find command for unix."
,fzf,"is a fuzzy finder tool."
,gimp,"is an image editor."
,git,"is a source control manager."
,gnome-keyring,"serves as the system keyring."
,gnu-netcat,"is the famout netcat command."
,groff,"is a document formatting system"
,gxmessage,"is a GTK replacement for xmessage."
,highlight,"can highlight code output."
,hsetroot,"is a wallpaper setter for X."
,inkscape,"is a vector graphic editor."
,inotify-tools,"is a simple inotify interface."
,irssi,"is and IRC client."
,jq,"is a json processor for the shell."
,leafpad,"is a barebones text editor."
,libnotify,"allows desktop notifications."
,lsd,"is a modern alternative to ls."
,lynx,"is a terminal browser."
,maim,"can take quick screenshots at your request."
,man-db,"lets you read man pages of programs."
,moreutils,"is a collection of unix tools."
,mpc,"is a terminal interface for mpd."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video player."
